
        1000	N     173.21	S    1338.83	(  7.73)	N     221.66	S    1636.80	(  7.38)
       10000	N     160.82	S    1485.12	(  9.23)	N     225.42	S    1783.62	(  7.91)
       15000	N     158.56	S    1451.92	(  9.16)	N     225.39	S    1798.56	(  7.98)
      100000	N     160.17	S    1250.67	(  7.81)	N     225.38	S    1778.13	(  7.89)
      150000	N     126.77	S    1079.64	(  8.52)	N     194.66	S    1615.49	(  8.30)
      200000	N     114.60	S     838.98	(  7.32)	N     164.47	S    1245.47	(  7.57)
        1000	N     222.95	S    1768.93	(  7.93)	N     223.28	S    1780.67	(  7.98)
       10000	N     222.50	S    1820.52	(  8.18)	N     225.82	S    1807.95	(  8.01)
       15000	N     220.51	S    1743.09	(  7.90)	N     225.81	S    1831.49	(  8.11)
      100000	N     221.61	S    1405.44	(  6.34)	N     225.72	S    1795.55	(  7.95)
      150000	N     218.64	S    1284.83	(  5.88)	N     225.53	S    1790.58	(  7.94)
      200000	N     219.31	S    1372.18	(  6.26)	N     225.60	S    1790.84	(  7.94)
        1000	N     223.09	S    1798.56	(  8.06)	N     223.37	S    1780.67	(  7.97)
       10000	N     222.26	S    1831.39	(  8.24)	N     225.76	S    1817.44	(  8.05)
       15000	N     221.02	S    1784.41	(  8.07)	N     225.97	S    1867.59	(  8.26)
      100000	N     221.25	S    1379.44	(  6.23)	N     225.62	S    1798.14	(  7.97)
      150000	N     221.49	S    1373.07	(  6.20)	N     225.63	S    1797.54	(  7.97)
      200000	N     224.09	S    1432.21	(  6.39)	N     230.02	S    1876.01	(  8.16)
        1000	N     223.51	S    1804.61	(  8.07)	N     223.51	S    1780.67	(  7.97)
       10000	N     222.28	S    1835.77	(  8.26)	N     225.83	S    1806.13	(  8.00)
       15000	N     221.70	S    1810.08	(  8.16)	N     225.97	S    1863.06	(  8.24)
      100000	N     221.38	S    1404.83	(  6.35)	N     225.69	S    1797.21	(  7.96)
      150000	N     156.51	S    1096.12	(  7.00)	N     161.99	S    1224.84	(  7.56)
      200000	N     219.32	S    1381.78	(  6.30)	N     225.53	S    1795.34	(  7.96)
        1000	N     223.51	S    1810.69	(  8.10)	N     223.56	S    1783.62	(  7.98)
       10000	N     221.94	S    1820.83	(  8.20)	N     225.84	S    1811.92	(  8.02)
       15000	N     220.67	S    1813.75	(  8.22)	N     225.91	S    1907.18	(  8.44)
      100000	N     229.67	S    1380.24	(  6.01)	N     225.60	S    1796.25	(  7.96)
      150000	N     159.15	S    1097.44	(  6.90)	N     162.62	S    1225.96	(  7.54)
      200000	N     221.22	S    1417.27	(  6.41)	N     225.60	S    1800.79	(  7.98)
